[DEBUG] 2020-04-04 20:22:19.294 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-04-04 20:22:19.305 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-04-04 20:22:19.313 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-04-04 20:22:19.418 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-04-04 20:22:19.425 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-04-04 20:22:19.709 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-04-04 20:22:19.709 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-04-04 20:22:19.717 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-04-04 20:22:19.980 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-04-04 20:22:20.000 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-04-04 20:22:20.001 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-04-04 20:22:20.016 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-04-04 20:22:20.043 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@3402b4c9
[DEBUG] 2020-04-04 20:22:20.044 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@3402b4c9
[DEBUG] 2020-04-04 20:22:20.044 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@3402b4c9
[DEBUG] 2020-04-04 20:22:20.044 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@173f73e7
[DEBUG] 2020-04-04 20:22:20.045 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@25da615a
[DEBUG] 2020-04-04 20:22:20.045 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@75308740
[DEBUG] 2020-04-04 20:22:20.046 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@373f7450
[DEBUG] 2020-04-04 20:22:20.047 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@373f7450
[DEBUG] 2020-04-04 20:22:20.047 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@373f7450
[DEBUG] 2020-04-04 20:22:20.047 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@2c768ada
